area,n_units,median_modulation_index,median_image_selectivity,rank
LGN,895,3.873774767934179,0.2774745762711863,0
LP,1443,0.8709434973033445,0.1991355932203389,1
V1,1992,1.1650423172504587,0.48977966101694914,2
LM,923,0.8194360897402649,0.4423559322033897,3
AL,1535,0.7993183583548749,0.4245593220338984,4
RL,1399,0.8175789136629902,0.3920338983050848,5
PM,868,0.7334830077966773,0.37773728813559315,6
AM,1483,0.7522545222470222,0.385457627118644,7
